,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
50,-122.27,37.82,21.0,896.0,453.0,,,0.9218,171900.0
51,-122.27,37.82,43.0,,456.0,,,1.5045,
52,,37.82,,,853.0,1959.0,,1.1108,97500.0
53,,,52.0,,456.0,,,1.2475,104200.0
54,-122.28,37.82,52.0,1170.0,235.0,,,1.6098,87500.0
55,,,52.0,945.0,243.0,,220.0,1.4113,83100.0
56,,37.82,52.0,,288.0,622.0,259.0,1.5057,
57,,37.82,,1489.0,335.0,728.0,,0.8172,
58,-122.28,,52.0,,341.0,,,1.2171,80300.0
59,-122.29,37.82,,,43.0,,,2.5625,
60,-122.29,,52.0,,211.0,,,,75700.0
61,-122.29,,,,29.0,,,6.1183,75000.0
62,,37.81,,760.0,190.0,,,0.9011,86100.0
63,-122.3,37.81,,1224.0,237.0,,159.0,1.191,76100.0
64,,37.81,48.0,,182.0,,,2.5938,73500.0
65,-122.3,,52.0,,209.0,,,1.1667,
66,,37.81,,1455.0,354.0,788.0,332.0,0.8056,
67,-122.29,37.8,52.0,,244.0,492.0,,2.6094,81300.0
68,-122.3,37.81,52.0,572.0,109.0,274.0,,1.8516,
69,,,46.0,,644.0,,,0.9802,129200.0
70,-122.29,37.81,26.0,,152.0,,,1.7719,
71,-122.29,37.81,46.0,,297.0,582.0,277.0,0.7286,95200.0
72,,37.81,49.0,844.0,204.0,,,,75000.0
73,-122.29,37.81,,,4.0,,,0.4999,
74,,,20.0,835.0,161.0,,,2.483,137500.0
75,,37.81,17.0,,462.0,762.0,,0.9241,177500.0
76,-122.28,,,,562.0,,509.0,2.4464,102100.0
77,,,,,243.0,721.0,,1.1111,108300.0
78,-122.29,37.81,,1745.0,374.0,1054.0,,0.8026,112500.0
79,-122.28,37.8,,684.0,176.0,,,2.0114,131300.0
80,-122.28,37.81,,924.0,289.0,,,1.5,162500.0
81,-122.27,,,210.0,56.0,183.0,,1.1667,
82,,37.81,52.0,,97.0,,,1.5208,112500.0
83,-122.28,37.81,,386.0,164.0,346.0,155.0,0.8075,137500.0
84,-122.28,37.81,,,184.0,,,1.8088,118800.0
85,-122.28,37.81,,,143.0,,,2.4083,98200.0
86,,,40.0,880.0,451.0,582.0,,0.977,
87,,37.81,10.0,,348.0,,330.0,0.76,162500.0
88,-122.27,37.8,10.0,,42.0,,39.0,,137500.0
89,-122.27,,52.0,249.0,78.0,396.0,,1.2434,500001.0
90,-122.27,37.8,,994.0,392.0,,,2.0938,162500.0
91,,37.8,,,87.0,,88.0,,
92,,,52.0,,31.0,,,,162500.0
93,,37.79,,1055.0,347.0,,,2.6354,187500.0
94,-122.27,37.8,,,623.0,1327.0,,1.8477,
95,,37.8,36.0,,2477.0,3469.0,2323.0,2.0096,
96,,37.82,31.0,,1331.0,,,2.8345,
97,-122.26,37.81,29.0,,107.0,202.0,,2.0062,
98,,,,,1270.0,,,1.2185,170000.0
99,,,37.0,,1085.0,,,2.6104,193100.0
100,-122.25,,29.0,4656.0,1414.0,,1250.0,2.4912,
101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,,3.2177,273400.0
102,,37.81,39.0,,242.0,389.0,228.0,3.125,237500.0
103,,37.81,52.0,,701.0,895.0,,2.5795,350000.0
104,,37.81,34.0,,1914.0,2689.0,,2.8406,
105,-122.24,37.82,52.0,,225.0,,,4.9306,313400.0
106,-122.24,37.81,52.0,,482.0,709.0,,3.2727,
107,-122.25,37.81,52.0,,460.0,686.0,,,259400.0
108,-122.24,37.82,52.0,,751.0,,718.0,3.9,
109,,37.82,,,855.0,,,3.9063,225000.0
110,-122.25,37.82,,,289.0,,253.0,5.0917,262500.0
111,-122.25,37.82,32.0,3809.0,1098.0,,,2.6429,218500.0
112,-122.25,,26.0,3959.0,1196.0,,,3.0233,
113,-122.25,,52.0,,559.0,,,3.1484,
114,-122.25,37.83,,1613.0,428.0,,,3.4722,243100.0
115,-122.25,,52.0,,287.0,,291.0,3.1429,231600.0
116,-122.25,37.83,28.0,,1750.0,,,2.4234,218500.0
117,-122.25,37.83,52.0,4190.0,1105.0,,,3.0897,
118,-122.23,,50.0,,399.0,970.0,,5.8596,327600.0
119,,37.84,,,454.0,1098.0,,,347600.0
120,-122.24,,41.0,,406.0,794.0,,5.956,366100.0
121,-122.24,,,,54.0,98.0,,4.9643,335000.0
122,,37.85,,,411.0,,,6.3434,373600.0
123,-122.24,37.84,52.0,3529.0,574.0,,,5.1773,389500.0
124,-122.24,37.85,52.0,2612.0,365.0,901.0,,7.2354,391100.0
125,-122.22,,28.0,5287.0,1048.0,,956.0,5.457,
126,-122.22,37.84,50.0,2935.0,473.0,,,7.5,295200.0
127,-122.21,37.84,,,597.0,,,6.0194,292300.0
128,,37.83,40.0,,674.0,,,,411500.0
129,,,,,346.0,844.0,,6.0666,311500.0
130,-122.21,37.84,34.0,3038.0,490.0,,496.0,7.0548,325900.0
131,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0
132,,37.84,,,460.0,,,7.4882,319300.0
133,,37.83,,5065.0,788.0,,,6.8976,333300.0
134,-122.19,,28.0,1326.0,184.0,,,,335200.0
135,,37.83,26.0,,223.0,,,,351200.0
136,-122.19,,29.0,1791.0,271.0,,,6.8538,368900.0
137,-122.19,37.82,32.0,,264.0,635.0,,,365900.0
138,-122.2,37.82,37.0,,181.0,,176.0,,366700.0
139,-122.2,37.82,,3770.0,534.0,1265.0,,6.3302,362800.0
140,,37.81,,292.0,38.0,,,6.3624,483300.0
141,-122.21,,,,333.0,813.0,,7.0549,331400.0
142,-122.2,,45.0,,436.0,,,6.7851,323500.0
143,-122.21,37.8,,,605.0,,,2.8929,216700.0
144,,37.8,38.0,2254.0,535.0,,487.0,3.0812,233100.0
145,-122.21,37.81,52.0,1389.0,212.0,,,5.2402,296400.0
146,-122.22,,52.0,,335.0,,,,273700.0
147,,37.8,52.0,2183.0,465.0,,,3.2632,
148,,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,199600.0
149,-122.22,37.8,52.0,,541.0,,,4.5428,239800.0
150,,37.81,,,339.0,,,,270100.0
151,,,52.0,,536.0,1034.0,,5.3509,
152,-122.23,37.8,,2033.0,486.0,787.0,,3.1603,269500.0
153,,37.81,52.0,,229.0,612.0,,4.7708,314700.0
154,,,52.0,2927.0,402.0,,380.0,8.1564,390100.0
155,-122.23,37.81,,,292.0,,,8.8793,410300.0
156,,37.81,,,313.0,,327.0,6.8591,
157,-122.24,37.81,52.0,,238.0,634.0,,,
158,-122.23,37.81,,,365.0,878.0,352.0,7.508,348700.0
159,-122.24,37.81,52.0,2093.0,550.0,918.0,,2.7477,243800.0
160,-122.24,,52.0,,168.0,,,,211500.0
161,-122.25,37.8,52.0,2087.0,510.0,,,,
162,,37.81,,,502.0,,,3.675,
163,-122.25,37.81,,,835.0,,,3.225,218800.0
164,-122.25,37.8,,,1065.0,,,,225000.0
165,,37.8,,2364.0,792.0,1359.0,722.0,2.1429,
166,-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,
167,,37.8,29.0,,864.0,1335.0,773.0,1.3929,193800.0
168,-122.24,37.79,,,492.0,,,2.3173,
169,-122.25,,,1786.0,526.0,,460.0,1.7772,97500.0
170,-122.25,37.79,,629.0,188.0,742.0,,2.6458,125000.0
171,-122.25,,,1339.0,391.0,,363.0,2.181,
172,,37.8,36.0,,606.0,,,2.2303,116700.0
173,-122.25,37.8,,,647.0,,,,151800.0
174,-122.24,,52.0,,228.0,,,2.2697,127000.0
175,-122.24,37.8,52.0,,373.0,,,2.1563,
176,-122.24,37.8,52.0,1586.0,398.0,,,2.1348,140600.0
177,-122.24,,47.0,2046.0,588.0,,,2.6292,182700.0
178,-122.23,37.8,52.0,,289.0,,257.0,2.3833,146900.0
179,,37.8,52.0,1803.0,420.0,1321.0,,2.957,122800.0
180,,37.8,49.0,,749.0,,,2.5238,169300.0
181,-122.23,37.8,52.0,,184.0,,186.0,1.9375,126600.0
182,,37.8,51.0,,414.0,,,1.9028,127900.0
183,-122.23,37.8,,,480.0,1149.0,415.0,2.25,
184,-122.23,,,1252.0,299.0,,,2.3929,
185,-122.23,37.79,,5963.0,1344.0,,,2.1917,
186,,37.79,52.0,,395.0,,,2.9357,107900.0
187,-122.23,,30.0,,264.0,,263.0,1.8854,137500.0
188,-122.24,37.79,,,431.0,,389.0,2.1638,105500.0
189,-122.24,37.79,47.0,1372.0,395.0,,,2.125,95500.0
190,-122.24,37.79,52.0,674.0,180.0,,,3.375,116100.0
191,-122.24,37.79,43.0,,376.0,,357.0,2.2542,112200.0
192,-122.25,37.79,51.0,175.0,43.0,,,2.1,75000.0
193,,37.79,39.0,,129.0,381.0,,1.6,112500.0
194,,37.79,52.0,,237.0,,,,125000.0
195,-122.26,37.8,20.0,,779.0,1659.0,,1.6929,115000.0
196,-122.22,37.77,,,128.0,,,,95000.0
197,-122.22,37.77,,1137.0,301.0,,259.0,2.59,96400.0
198,-122.23,37.77,,769.0,206.0,,183.0,2.57,72000.0
199,-122.23,37.78,,472.0,146.0,,,2.6429,
200,-122.23,37.78,52.0,862.0,215.0,994.0,,3.0257,
201,,37.78,,,530.0,,,1.4886,128800.0
202,,37.78,43.0,1420.0,472.0,,,1.9338,112500.0
203,-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,119400.0
204,-122.23,,44.0,,825.0,,751.0,1.6009,118100.0
205,-122.23,37.79,,,396.0,1481.0,,2.0375,122500.0
206,,,,,217.0,859.0,,2.293,106300.0
207,-122.22,37.79,,,574.0,,,2.1494,132500.0
208,-122.23,,30.0,,145.0,,,1.6198,122700.0
209,-122.23,,,930.0,199.0,,,1.3281,113300.0
210,-122.22,37.79,,,314.0,,,,109500.0
211,,,,3424.0,690.0,2273.0,685.0,3.9048,164700.0
212,-122.21,,52.0,,190.0,600.0,,3.0893,125000.0
213,-122.22,,46.0,2366.0,575.0,,,2.6042,124700.0
214,-122.22,,49.0,,450.0,,,2.5,136700.0
215,-122.22,37.79,,,711.0,,659.0,2.7969,
216,,37.79,29.0,1640.0,376.0,,,2.8321,150000.0
217,-122.21,,,,307.0,,,2.9583,138800.0
218,-122.21,37.79,34.0,,557.0,,,2.8365,
219,-122.21,37.79,,,409.0,,,2.875,
220,-122.21,37.8,39.0,2003.0,500.0,1109.0,,3.0682,156500.0
221,,37.8,39.0,2018.0,447.0,,446.0,3.0757,151000.0
222,,37.8,,,499.0,1115.0,,4.9559,273000.0
223,-122.2,37.8,52.0,,293.0,,,4.7721,
224,-122.21,37.8,52.0,,711.0,1883.0,,3.4861,187100.0
225,-122.2,37.8,,2070.0,354.0,,,5.1184,239600.0
226,,37.8,48.0,,263.0,,252.0,4.0977,229700.0
227,-122.19,37.8,48.0,,259.0,610.0,,4.744,257300.0
228,,37.8,46.0,1938.0,341.0,,,4.2727,246900.0
229,,,50.0,968.0,195.0,,184.0,2.9844,179900.0
230,,37.79,40.0,,256.0,,,,
231,,,46.0,,405.0,1059.0,,3.8487,
232,,,,,271.0,637.0,277.0,4.0114,263400.0
233,,37.79,45.0,,451.0,,,4.6563,231800.0
234,,37.79,,,761.0,1737.0,,2.9297,140500.0
235,-122.2,37.79,35.0,1802.0,459.0,,,2.3036,126000.0
236,-122.2,,49.0,,195.0,,,2.6667,122000.0
237,-122.2,37.79,44.0,,452.0,,,,134700.0
238,-122.21,37.79,45.0,,533.0,,,2.4167,
239,-122.2,,,,528.0,1410.0,,2.7788,115400.0
240,,37.78,46.0,2239.0,508.0,,,2.7352,137300.0
241,-122.21,37.78,,1477.0,300.0,,,1.8472,137000.0
242,-122.21,,52.0,,224.0,,,2.6583,142600.0
243,-122.21,,49.0,,244.0,,,3.0536,
244,-122.22,37.78,44.0,,710.0,,,2.3906,111700.0
245,,37.78,,1702.0,460.0,,407.0,1.7188,
246,-122.21,37.78,,,248.0,,,2.625,
247,,37.77,40.0,,114.0,547.0,135.0,2.8015,114800.0
248,-122.22,37.78,50.0,,,1807.0,,1.7276,102300.0
249,-122.22,37.78,,1678.0,514.0,,495.0,2.0801,131900.0
250,-122.22,37.78,51.0,1637.0,463.0,,,2.489,
251,,37.76,52.0,1420.0,314.0,,300.0,1.7546,80600.0
252,-122.21,37.77,52.0,,173.0,353.0,137.0,4.0904,80600.0
253,,,,745.0,153.0,,,2.6765,88800.0
254,-122.2,37.77,49.0,,498.0,,,2.4338,102400.0
255,-122.21,,46.0,,375.0,1183.0,,2.3309,98700.0
256,-122.21,37.77,43.0,,328.0,,277.0,,100000.0
257,-122.19,37.77,42.0,,254.0,900.0,263.0,1.8039,92300.0
258,-122.2,37.77,,,597.0,1888.0,,2.2562,
259,-122.2,,41.0,,415.0,,341.0,2.0562,102000.0
260,-122.2,37.78,,,443.0,,,3.5398,158400.0
261,,37.78,39.0,1752.0,399.0,,,3.1167,
262,-122.2,,50.0,,403.0,,,2.5401,129100.0
263,-122.2,37.77,,,502.0,,,2.898,121400.0
264,,37.78,44.0,1729.0,414.0,,,2.3125,102800.0
265,-122.19,37.78,52.0,,180.0,,,2.875,160000.0
266,-122.19,37.77,,,428.0,1086.0,425.0,3.3715,143900.0
267,-122.19,37.77,52.0,,445.0,1144.0,417.0,3.5114,151200.0
268,-122.19,37.78,52.0,,415.0,,,4.3125,164400.0
269,-122.19,37.78,52.0,,397.0,,369.0,3.22,156500.0
270,-122.18,37.78,33.0,,31.0,,47.0,3.875,
271,-122.19,,49.0,1183.0,205.0,496.0,,5.2328,174200.0
272,,37.78,52.0,,193.0,,,3.7262,166900.0
273,,37.78,45.0,1766.0,332.0,869.0,,,163500.0
274,-122.18,,,,95.0,236.0,,,
275,,,41.0,,233.0,626.0,214.0,7.0875,240700.0
276,-122.18,37.79,,,387.0,,,3.9712,
277,-122.19,,,,243.0,,,2.9514,198100.0
278,-122.19,37.79,50.0,,217.0,,,2.6667,172800.0
279,,37.81,,1643.0,262.0,,,5.4446,336700.0
280,-122.18,37.8,34.0,,195.0,,,,318200.0
281,-122.18,37.8,,2317.0,336.0,,,6.7527,285800.0
282,-122.13,37.77,24.0,,317.0,916.0,,7.0712,
283,,37.79,,,2048.0,4985.0,,5.9849,371000.0
284,-122.17,37.78,42.0,,260.0,,,,
285,,37.77,,,746.0,1704.0,,2.875,135300.0
286,,,43.0,1985.0,440.0,1085.0,,,136700.0
287,-122.18,37.78,50.0,,322.0,,284.0,3.2984,160700.0
288,-122.17,37.78,,,177.0,,,3.875,
289,,37.78,52.0,,128.0,,,4.175,144000.0
290,,37.77,47.0,1256.0,,,218.0,4.375,161900.0
291,-122.16,37.77,48.0,,194.0,446.0,180.0,4.7708,156300.0
292,-122.16,37.77,45.0,,397.0,,,3.5739,176000.0
293,,37.77,,1583.0,349.0,857.0,,,
294,-122.17,37.77,,1612.0,342.0,912.0,,3.3958,141900.0
295,-122.17,37.77,,,533.0,1360.0,,1.871,90700.0
296,,37.76,,1594.0,367.0,,,1.9356,90600.0
297,-122.17,,,2118.0,413.0,965.0,,2.1842,107900.0
298,-122.18,,37.0,,358.0,933.0,,2.2917,107000.0
299,-122.17,,38.0,,397.0,,,2.4333,98200.0
300,-122.18,37.76,50.0,,261.0,,,1.9479,
301,-122.18,37.76,,,175.0,,,3.9063,93800.0
302,-122.18,37.76,,2308.0,452.0,,,1.8407,96700.0
303,-122.18,,27.0,,236.0,,,2.0786,97500.0
304,-122.18,,42.0,1180.0,257.0,877.0,,2.8125,
305,-122.18,37.76,43.0,,408.0,,,1.8913,91200.0
306,-122.19,37.76,49.0,,282.0,790.0,,1.7056,
307,,37.77,52.0,2744.0,547.0,,554.0,,96200.0
308,-122.18,37.77,,,471.0,1173.0,438.0,3.2552,120100.0
309,,37.77,52.0,,362.0,,366.0,2.0556,100000.0
310,-122.19,37.76,,,391.0,,,2.4659,94700.0
311,-122.2,37.76,,,259.0,,,,85700.0
312,,,41.0,2036.0,510.0,,,2.0469,89300.0
313,-122.19,37.77,,1852.0,393.0,1132.0,,2.7159,101400.0
314,,37.76,,921.0,207.0,,159.0,1.2083,
315,,37.76,,995.0,238.0,630.0,,1.925,
316,-122.2,37.75,,606.0,132.0,,133.0,1.5809,70000.0
317,,37.76,37.0,,736.0,,667.0,1.4097,84600.0
318,-122.19,37.76,,,370.0,,,,81800.0
319,-122.19,,19.0,,565.0,,,,
320,,37.75,,,189.0,435.0,,0.8012,
321,,,,,297.0,984.0,303.0,1.9479,85800.0
322,-122.19,37.74,36.0,847.0,212.0,,,1.1765,87100.0
323,,37.74,,,154.0,,,,
324,-122.19,,44.0,,253.0,,244.0,2.1538,79700.0
325,-122.19,,,,147.0,417.0,,2.5139,
326,,37.73,,,291.0,,,1.2625,84700.0
327,-122.18,,42.0,,215.0,,198.0,2.9063,80000.0
328,-122.18,37.73,43.0,1391.0,293.0,,285.0,2.5192,76400.0
329,-122.18,37.73,,,119.0,435.0,,2.1111,79700.0
330,-122.18,,42.0,,874.0,,780.0,2.455,82400.0
331,-122.17,37.74,,,445.0,,,2.4028,97700.0
332,-122.17,37.74,47.0,,134.0,,,2.15,97200.0
333,-122.17,37.74,43.0,818.0,193.0,,179.0,,101600.0
334,,37.73,,,371.0,,,2.1587,86500.0
335,-122.18,,35.0,504.0,126.0,,,1.8438,90500.0
336,-122.17,37.74,46.0,,226.0,,225.0,3.0298,107600.0
337,-122.17,37.74,46.0,,183.0,,178.0,2.25,
338,,37.74,46.0,,391.0,1339.0,,2.2467,88900.0
339,,,45.0,330.0,76.0,,,4.0469,80700.0
340,,37.75,46.0,,218.0,621.0,,1.325,87100.0
341,-122.17,,,,,,,1.6196,85100.0
342,-122.18,37.75,45.0,,261.0,,,,82000.0
343,-122.19,37.75,,,263.0,,150.0,,82800.0
344,,37.75,43.0,,233.0,,,2.069,84600.0
345,,37.75,36.0,,214.0,651.0,,1.712,82100.0
346,-122.17,,33.0,,307.0,999.0,,2.5625,
347,-122.17,,,1587.0,320.0,,,1.9821,
348,-122.17,37.75,41.0,,271.0,828.0,230.0,2.5043,92300.0
349,-122.17,37.75,,,248.0,763.0,,,88800.0
350,-122.17,37.75,,,390.0,935.0,349.0,,
351,-122.16,37.76,,2299.0,514.0,1437.0,,2.5122,
352,-122.16,37.75,38.0,,624.0,1516.0,,1.5625,91700.0
353,-122.17,,,,211.0,,,3.1587,100400.0
354,-122.17,,,1685.0,343.0,,,1.8426,94800.0
355,,,46.0,,307.0,,,4.6696,164300.0
356,-122.16,,36.0,,574.0,,,2.4598,155500.0
357,-122.15,37.76,,,286.0,,,6.0749,196900.0
358,-122.14,37.77,27.0,2229.0,365.0,,,4.8304,279100.0
359,-122.14,37.76,34.0,,231.0,,,5.5701,252800.0
360,-122.13,37.76,26.0,3266.0,491.0,1222.0,,5.37,275400.0
361,-122.12,37.75,33.0,,261.0,808.0,,6.86,
362,,,28.0,,111.0,,,7.6923,329800.0
363,-122.14,37.75,36.0,,105.0,,,4.0313,195500.0
364,-122.14,37.75,,,200.0,579.0,202.0,6.8323,255900.0
365,-122.13,,30.0,414.0,54.0,137.0,,4.975,311100.0
366,-122.13,37.75,36.0,,93.0,,,5.3602,
367,-122.13,37.74,41.0,,666.0,,,5.0,248900.0
368,-122.16,,46.0,954.0,161.0,429.0,,2.925,142900.0
369,,37.75,40.0,,256.0,849.0,255.0,3.8913,126300.0
370,-122.15,37.75,,,399.0,946.0,,3.225,
371,,,41.0,,178.0,,,3.1458,130600.0
372,-122.16,37.75,,,454.0,1137.0,,,107900.0
373,-122.16,37.75,44.0,,131.0,,,2.5568,
374,,,,1383.0,275.0,,272.0,3.5083,122000.0
375,-122.15,37.74,49.0,,277.0,,282.0,3.3125,118000.0
376,-122.16,37.75,40.0,,294.0,928.0,,1.8235,95200.0
377,-122.16,37.75,35.0,,140.0,,133.0,3.8047,94300.0
378,-122.17,37.74,34.0,,281.0,824.0,,2.2917,
379,,37.75,37.0,1379.0,287.0,,,2.4962,
380,-122.16,37.74,43.0,,300.0,,295.0,4.0417,109400.0
381,-122.16,37.74,46.0,1029.0,181.0,567.0,,3.4844,129500.0
382,-122.16,37.74,,771.0,147.0,355.0,,4.1458,143400.0
383,,37.74,47.0,,223.0,,,2.625,98200.0
384,-122.16,37.74,44.0,1097.0,239.0,,215.0,2.0227,103100.0
385,-122.29,37.9,49.0,1283.0,238.0,,,3.3333,276800.0
386,-122.29,37.9,,,263.0,,,5.338,270900.0
387,-122.29,,,,422.0,870.0,,3.4732,
388,,37.9,,,522.0,1027.0,,3.5125,224200.0
389,-122.29,37.89,,,,693.0,,3.1375,229100.0
390,,37.89,,1520.0,402.0,815.0,,2.8036,211600.0
391,,,15.0,,1212.0,,,4.5824,256100.0
392,-122.3,37.89,,1077.0,293.0,,,3.0208,206300.0
393,-122.3,,52.0,,283.0,620.0,275.0,4.0875,
394,,,42.0,,291.0,,,4.5268,207400.0
395,-122.34,,37.0,,930.0,,,,
396,-122.29,37.89,52.0,3171.0,698.0,,696.0,3.1795,
397,-122.29,37.88,,1211.0,261.0,523.0,227.0,3.8672,216700.0
398,-122.29,37.89,,,175.0,374.0,,5.1675,270600.0
399,-122.29,37.89,,,380.0,,371.0,5.1696,261400.0
400,,37.88,52.0,1844.0,332.0,769.0,334.0,4.2614,261300.0
401,-122.29,37.89,,2178.0,421.0,,,5.0551,
402,-122.27,37.9,42.0,1650.0,274.0,645.0,,5.6228,375400.0
403,,37.9,52.0,,279.0,705.0,,7.8864,357300.0
404,,37.9,52.0,2079.0,273.0,684.0,,7.9556,
405,-122.27,37.9,,1803.0,240.0,,,6.174,358800.0
406,,,,2041.0,270.0,671.0,253.0,6.9414,417500.0
407,-122.27,37.89,,3046.0,373.0,,,8.8342,430500.0
408,-122.28,37.9,52.0,,328.0,779.0,,7.1754,362900.0
409,-122.28,37.9,52.0,2003.0,250.0,,,10.0825,397000.0
410,,37.9,52.0,2261.0,328.0,,,4.9083,346800.0
411,-122.28,37.89,,,169.0,,,5.7912,
412,-122.28,,,,408.0,835.0,,4.5893,290100.0
413,,37.89,,,329.0,722.0,,5.4171,292000.0
414,-122.28,37.89,52.0,,473.0,1085.0,487.0,4.125,270900.0
415,-122.27,37.89,52.0,,366.0,,,7.266,371100.0
416,-122.27,37.89,52.0,1978.0,293.0,,,5.3989,335600.0
417,,37.9,,,335.0,903.0,362.0,7.8336,371300.0
418,-122.25,,,1125.0,195.0,,,6.1593,
419,-122.26,37.89,,3078.0,494.0,1005.0,,6.381,342200.0
420,-122.26,37.89,,,531.0,1205.0,,6.6828,370900.0
421,-122.25,,37.0,3000.0,457.0,987.0,,7.5385,350000.0
422,-122.25,,42.0,,460.0,,448.0,6.7138,368600.0
423,-122.26,37.88,,2551.0,417.0,,404.0,6.2425,391800.0
424,-122.26,37.88,52.0,,410.0,,,5.7979,415300.0
425,,,52.0,,648.0,,,4.2813,284900.0
426,-122.27,37.88,,,391.0,,,3.5417,287500.0
427,,37.88,44.0,2252.0,592.0,,,3.0132,272900.0
428,-122.28,37.88,52.0,2495.0,491.0,,,4.1429,
429,,37.88,52.0,1193.0,200.0,,,4.1912,
430,,37.88,52.0,1172.0,215.0,489.0,,3.9167,235600.0
431,-122.29,37.88,52.0,2159.0,424.0,,,3.8897,218400.0
432,-122.29,37.88,,2365.0,490.0,,475.0,3.1065,
433,,37.88,,,442.0,920.0,,2.9926,192100.0
434,-122.29,37.88,,,395.0,841.0,,3.556,179300.0
435,,37.88,45.0,453.0,146.0,,,1.475,187500.0
436,-122.3,37.88,,,97.0,,98.0,1.6971,138800.0
437,,37.87,10.0,,118.0,228.0,,2.1705,150000.0
438,,,50.0,499.0,127.0,287.0,,2.75,140600.0
439,-122.29,37.85,,477.0,119.0,,,,120000.0
440,-122.3,37.88,46.0,,376.0,,,2.9,144800.0
441,-122.3,37.87,52.0,,749.0,,,2.2208,144800.0
442,-122.28,37.88,52.0,957.0,188.0,,,3.2344,245500.0
443,,37.87,,,132.0,,,3.5156,
444,-122.28,37.87,49.0,,548.0,963.0,,1.9805,173700.0
445,-122.29,37.87,50.0,,536.0,,,2.6684,185600.0
446,-122.29,37.87,52.0,,198.0,,,3.875,182600.0
447,,37.88,52.0,,416.0,811.0,,3.006,227900.0
448,-122.28,37.87,46.0,,696.0,,,,220700.0
449,,37.87,46.0,,446.0,,,2.8676,212000.0
450,,37.88,,2803.0,930.0,,876.0,2.1907,271400.0
451,,37.87,30.0,,439.0,862.0,425.0,1.7778,
452,-122.27,37.88,,,682.0,1152.0,,,277800.0
453,-122.26,37.88,52.0,,255.0,483.0,,4.2788,332500.0
